"","T0","pT0","T1","pT1","T3","pT3"
"1",7.62643464814443,26.6768533054927,1.12278065653238,36.1871967172746,6.58099142137287,36.1338774209964
"2",11.5475871952715,7.28568773535451,1.70006144819275,13.9181675562605,9.68100217000723,13.8744537821177
"3",36.2237273428641,0.000249391127120884,5.33293763658833,0.0229457827923973,25.9782276057238,0.0224731292006842
"4",8.98747501596968,17.4283693501982,1.32315604401776,26.3267215212853,7.67692224147475,26.2741007582135
"5",29.0909834110993,0.00584716772648558,4.28283922441184,0.136832245422916,21.7422463967508,0.134820428138285
"6",22.7986389690546,0.0866801819210566,3.35646629266637,0.705935373049618,17.7136883804216,0.698898955884226
"7",66.4729494398684,2.1572519599433e-10,9.78629533420284,3.02671692165182e-05,41.0126136562322,2.87914633056319e-05
"8",27.7772189175692,0.0103487194399865,4.08942389619768,0.191851894669201,20.9251591516335,0.189228700399592
"9",27.7183644111958,0.0106158794810867,4.08075920498161,0.194790727093526,20.8882693574804,0.192136245176872
"10",16.1838937080035,1.28002412298245,2.38262879590051,4.11844292920071,13.1343030207193,4.09520932340438
"11",16.3051617779545,1.2206466016779,2.4004821506433,3.98739684708987,13.2217813677011,3.96461567152444
"12",8.20132232493394,22.3721901367472,1.2074168978375,31.7097447424286,7.04656652524017,31.6562228099146
