This file was created by CMPT_ME_BEME_RETS using the 201402 CRSP database.
It contains value- and equal-weighted returns for the intersections of  2
ME portfolios and  3 BE/ME portfolios.   

The portfolios are constructed at the end of Jun.  ME is market cap at the end
of Jun.  BE/ME is book equity at the last fiscal year end of the prior calendar
year divided by ME as of  6 months before formation.  Firms with negative
BE are not included in any portfolio.

The annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Average Value Weighted Returns -- Monthly
               Small                 Big         
          Low     2    High    Low     2    High 
195312  -1.03  -1.62  -3.65   0.46  -0.55  -3.48
195401   6.05   6.91   9.52   5.23   6.65   8.14
195402   0.77   1.24   0.84   1.48   2.08   0.90
195403   2.66   2.84   1.88   3.84   3.15   1.68
195404  -0.77   1.72   0.07   2.86   2.12   1.08
195405   3.17   4.27   4.50   3.31   4.10   6.47
195406   0.38   1.35   1.63   1.39   1.09   0.81
195407   5.23   7.09  10.28   5.49   6.62   7.32
195408   0.46   0.45  -0.19  -2.29  -1.45  -2.90
195409   3.12   4.47   4.16   4.33   5.26   5.62
195410  -0.83  -0.59  -0.57  -1.48   0.01  -0.57
195411   6.61   8.35   8.42   8.34  10.18  13.45
195412   8.67   9.87  12.68   4.22   7.64  12.91
195501   0.48   2.17   2.63   0.43   1.14   1.42
195502   3.58   5.45   4.81   3.84   3.39   4.28
195503  -0.86  -0.11   0.41  -0.27  -0.56   3.32
195504   1.43   2.00   2.46   2.90   2.31   2.60
195505   0.22   0.61   0.36   1.18   0.71   1.31
195506   2.23   3.67   3.13   3.70   4.84   2.94
195507   0.22   1.09   1.87  -0.06   0.62   1.03
195508   0.92   0.48  -0.32   1.36   0.62   0.95
195509  -0.03  -0.46   0.32  -1.65  -1.12  -1.63
195510  -2.12  -1.40  -1.07  -1.87  -1.80  -2.53
195511   5.73   4.33   4.16   6.71   5.67   8.18
195512   1.91   2.58   2.62   2.77   2.27  -0.84
195601  -0.30  -1.65  -1.30  -3.26  -2.38  -2.98
195602   2.49   3.17   2.63   4.20   3.50   3.72
195603   2.95   3.51   4.97   6.63   6.19   4.80
195604   0.65   0.25   0.44   0.15   0.31   0.20
195605  -3.47  -3.89  -4.45  -3.63  -3.63  -5.94
195606  -0.15   1.94   0.96   3.69   2.99   1.74
195607   2.88   3.21   2.99   4.82   4.97   4.32
195608  -0.60  -1.05  -1.58  -2.29  -2.39  -2.91
195609  -3.23  -3.40  -1.95  -5.41  -3.82  -2.85
195610  -0.30   1.00   0.61   0.63   0.84   1.36
195611  -1.02  -0.09   0.95   0.57   1.33   0.56
195612   3.45   1.67   1.40   2.87   3.11   1.73
195701   0.84   1.03   2.98  -1.65  -1.49  -0.77
195702  -2.76  -3.15  -2.37  -1.40  -2.03  -2.85
195703   1.18   2.55   2.09   2.49   2.47   1.79
195704   1.25   2.18   2.33   3.47   2.98   2.31
195705   3.02   0.99   1.18   3.40   2.61   2.29
195706  -0.79  -0.36   0.52  -1.16  -1.68  -1.06
195707   1.07   0.68   0.36   0.28   0.52   1.02
195708  -5.34  -4.41  -4.63  -5.93  -4.15  -6.13
195709  -7.99  -4.59  -5.15  -5.56  -4.40  -6.28
195710  -8.52  -6.25  -8.87  -4.87  -4.06  -7.48
195711   2.73   0.84   0.70   4.63   2.44   1.32
195712  -5.67  -4.89  -6.40  -3.62  -3.39  -6.26
195801  14.13  11.54  14.72   6.29   8.43  13.14
195802  -2.59  -0.35  -1.25  -1.14  -0.54  -1.98
195803   5.84   3.98   2.92   3.91   3.45   3.26
195804   2.97   2.24   4.85   2.78   1.97   4.61
195805   5.98   4.35   4.41   3.48   3.24   3.48
195806   2.47   3.30   3.65   2.98   2.80   3.19
195807   3.81   5.98   6.53   4.18   5.20   8.10
195808   4.13   2.84   4.14   1.90   2.58   3.72
195809   5.09   4.57   7.32   3.82   3.93   8.91
195810   7.12   2.75   3.21   2.94   3.41   4.28
195811   8.57   4.64   4.24   4.28   2.99   4.32
195812   3.84   3.33   3.62   4.48   4.19   3.53
195901   4.72   5.99   6.57   0.58   3.22   4.83
195902   2.85   3.68   2.60   2.34   2.65   2.52
195903   2.10   1.41   1.82   0.70   1.06  -0.26
195904   2.38   2.83   1.90   3.05   2.64   3.92
195905  -0.22   0.65   0.35   0.68   0.67   3.11
195906   1.43   0.07   0.68   0.25   0.79   1.63
195907   2.40   2.56   3.62   2.91   2.87   3.93
195908  -1.25  -1.04  -1.62  -1.68  -1.35  -1.03
195909  -5.76  -4.22  -3.94  -5.12  -4.45  -4.64
195910   4.13   2.14   0.95   2.93   2.40   0.54
195911   3.53   1.62   0.55   2.59   1.18   0.73
195912   3.52   2.56   2.23   1.79   1.67   2.96
196001  -4.89  -2.75  -1.25  -5.55  -5.80  -4.43
196002   1.35   1.27   0.13   1.92   0.48  -0.43
196003  -2.53  -3.16  -2.99  -0.70  -2.16  -5.12
196004  -0.29  -2.44  -3.02  -0.45  -2.04  -3.19
196005   4.52   0.85   1.56   4.24   1.96   0.48
196006   2.55   2.31   1.41   2.64   2.03   3.12
196007  -3.35  -1.92  -1.23  -3.36  -0.58  -2.27
196008   4.68   4.40   4.29   3.26   3.83   2.21
196009  -7.98  -5.84  -6.29  -6.16  -5.11  -6.53
196010  -6.32  -2.46  -3.20  -1.48  -1.13  -1.26
196011   5.67   3.96   2.42   6.76   5.14   4.34
196012   3.59   3.90   1.89   4.79   4.76   3.46
196101   9.10   8.11   9.94   5.51   7.99  11.11
196102   8.19   6.04   7.45   5.48   5.03   4.59
196103   7.68   5.53   6.11   3.47   3.71   3.41
196104   0.80   1.57   2.08  -0.25   0.39   0.43
196105   4.55   5.11   4.67   4.12   3.73   4.28
196106  -6.21  -4.64  -5.07  -3.72  -2.72  -3.54
196107  -0.30   0.77   0.39   1.31   2.76   0.55
196108   1.17   0.29   1.18   3.88   2.88   2.24
196109  -4.89  -3.26  -3.25  -1.79  -2.26  -3.95
196110   0.21   3.25   0.67   2.48   3.12   1.71
196111   5.94   5.91   4.58   4.51   4.31   3.59
196112  -2.45   0.87   0.24  -1.84  -0.45   1.64
196201  -1.95   0.24   3.27  -4.24  -2.00   0.69
196202   0.75   0.91   1.98   1.57   1.45   1.78
196203  -1.18  -0.65  -0.25  -0.63  -0.22  -1.58
196204  -7.57  -7.50  -6.67  -6.77  -5.98  -6.60
196205 -11.64 -10.14 -10.19 -10.76  -8.55  -7.09
196206 -10.42  -8.03  -7.61  -9.87  -7.38  -7.69
196207   8.60   6.61   6.98   6.90   4.91   4.23
196208   5.05   3.38   2.57   2.64   2.48   1.79
196209  -8.24  -7.10  -5.88  -5.78  -4.78  -5.07
196210  -5.81  -4.16  -2.50  -1.47  -0.39   0.05
196211  15.84  13.62  14.60  13.82  11.48  14.29
196212  -3.55  -1.58  -2.27   0.62   0.68  -0.39
196301   8.62   8.94  10.84   5.24   5.43   8.87
196302  -2.77  -1.64   0.38  -2.37  -1.75  -0.94
196303   0.76   1.13   2.22   1.70   2.72   3.53
196304   3.62   2.35   4.24   4.20   3.94   5.25
196305   1.73   2.87   5.76   1.88   2.66   3.86
196306  -1.00  -1.99  -1.76  -1.13  -1.96  -0.94
196307  -0.50  -0.50  -0.87  -0.44  -1.27  -1.68
196308   3.61   2.61   5.04   5.72   5.38   6.25
196309  -1.81   0.08  -1.56  -2.51  -1.47  -2.51
196310   1.74   1.08   2.12   1.47   1.82   2.13
196311  -3.31  -1.77  -0.94  -0.73  -1.20   1.62
196312  -1.51  -0.62  -1.04   1.23   1.58   2.76
196401   4.23   4.19   4.67   0.85   1.27   3.28
196402   1.59   2.64   3.73   1.63   2.44   4.63
196403   0.77   3.25   4.40   0.91   4.11   4.10
196404  -1.15   0.33  -0.73  -0.38   0.30  -0.97
196405  -0.45   0.47   1.24   1.32   0.94   3.19
196406   0.73   0.80   1.21   1.50   1.87   2.70
196407   1.79   3.26   4.04   2.78   2.28   2.99
196408  -0.46  -0.38  -0.96  -1.43  -0.11  -1.15
196409   4.47   3.89   4.02   2.74   3.64   5.07
196410   1.34   1.92   2.58   1.12   1.56   2.29
196411  -0.56  -0.02  -0.20   1.22   0.26  -2.52
196412  -0.60  -1.80  -1.96   0.50  -0.74  -1.70
196501   8.14   7.11   8.62   5.16   4.80   6.11
196502   2.54   3.31   4.01   2.20   3.02   1.35
196503   1.68   0.98   2.64  -0.57  -0.42   0.47
196504   3.07   4.32   5.06   2.46   3.50   3.00
196505   0.07  -0.50  -0.62  -0.64  -0.62  -1.35
196506 -10.49  -9.01  -8.39  -5.73  -7.05  -7.04
196507   2.46   3.29   3.73   1.93   3.04   3.97
196508   4.88   4.96   4.11   3.84   4.42   2.99
196509   3.33   3.45   3.69   2.80   2.83   4.09
196510   6.22   6.56   6.93   2.67   3.72   5.41
196511   5.02   5.58   6.52   1.81   2.36   1.87
196512   5.69   5.34   5.64   1.36   2.35   4.72
196601   7.10   7.49   8.25   0.59   2.68   5.35
196602   5.66   4.16   4.96  -1.13  -0.10   0.27
196603   0.36  -1.61  -1.03  -1.02  -2.27  -3.81
196604   6.06   4.91   5.64   2.33   2.67   2.41
196605 -10.27  -9.84 -10.29  -4.02  -6.09  -8.51
196606  -0.70  -0.40  -0.18  -1.75  -0.21   0.29
196607  -2.31  -1.54  -0.93  -1.02  -1.41  -1.64
196608 -12.06 -10.26 -10.63  -8.46  -7.82  -8.48
196609  -2.78  -1.36  -1.54  -1.04  -1.09  -1.39
196610  -5.23  -2.62  -1.41   2.16   4.56   4.21
196611   6.60   4.16   2.90   6.34   1.94   0.50
196612   2.59   2.56   0.59   1.80   2.02   1.66
196701  21.71  20.38  19.25   9.39  10.34  13.91
196702   5.94   5.41   5.33   1.75   0.14   0.19
196703   6.00   6.26   5.79   4.85   4.58   5.81
196704   4.75   4.16   3.82   4.55   3.12   3.06
196705   0.35  -0.05  -1.03  -3.33  -1.94  -0.69
196706  11.17  11.01   9.17   2.34   2.96   4.11
196707   8.99   8.15  10.63   4.61   5.49   8.57
196708  -0.44   0.87   1.75  -0.82  -0.20   1.47
196709   8.69   7.82   6.19   3.37   2.73   1.91
196710   0.32  -1.76  -1.71  -3.61  -4.66  -4.44
196711  -0.08   0.54  -1.13   1.68   0.39  -0.27
196712  12.20   9.13   9.51   2.75   4.34   5.20
196801   1.82   3.36   6.44  -5.69  -1.53   0.11
196802  -7.95  -5.89  -5.80  -4.41  -3.02  -3.77
196803  -1.71  -1.42  -0.95   0.92  -0.69  -0.28
196804  17.61  15.10  15.73  11.43   8.20  12.55
196805  12.58   9.81  12.02   3.88   2.49   7.03
196806  -0.17   1.71   2.24   0.57   3.64   0.84
196807  -5.26  -2.58   0.83  -5.32  -2.86  -0.90
196808   3.95   4.31   4.98   1.42   1.49   3.52
196809   6.69   7.92   7.84   5.32   5.35   5.39
196810  -0.70   1.51   1.32   0.46   1.64   2.31
196811   7.47   7.50   6.61   7.21   6.94   7.17
196812   2.33   1.24   0.53  -3.87  -2.55  -1.28
196901  -0.82  -0.45  -0.40  -2.14   0.02   0.51
196902 -10.82  -9.08  -8.03  -6.92  -5.97  -6.34
196903   2.23   2.18   2.35   2.55   0.88   2.33
196904  -0.37   0.49   0.71   2.83   0.52   0.42
196905   0.27   1.17   0.35  -0.82   0.61  -0.63
196906 -13.49 -12.31 -11.72  -7.68  -8.11  -7.87
196907 -12.05 -10.65  -7.91  -7.02  -6.56  -6.99
196908   6.11   4.50   3.27   7.99   4.48   2.76
196909  -2.53  -3.47  -2.38  -0.01  -2.69  -3.39
196910  12.81  10.53   7.62   7.99   6.96   5.95
196911  -6.96  -6.25  -6.69  -3.05  -3.77  -5.05
196912  -8.94  -8.11  -8.25  -1.68  -2.30  -4.17
197001  -3.40  -2.28  -0.74  -9.25  -6.90  -5.35
197002   2.97   2.94   5.16   4.21   7.40   7.91
197003  -5.62  -1.56  -0.45  -2.35   0.64   0.36
197004 -21.88 -16.45 -11.98 -14.90 -11.34  -8.53
197005  -9.22  -9.61  -8.98 -10.14  -7.16  -6.84
197006 -11.03  -7.91  -6.54  -5.90  -4.75  -7.86
197007   5.81   5.10   4.89   5.93   9.00   7.81
197008   6.92   6.70   6.55   5.88   5.40   6.08
197009  20.54  14.32  12.50  10.03   3.35   5.35
197010  -8.57  -8.09  -5.98  -2.93  -2.40  -4.42
197011  -2.71  -0.98  -0.65   4.60   5.25   5.50
197012   6.63   9.51  10.00   7.16   8.50   8.49
197101  14.94  17.70  17.51   6.12   5.93   7.93
197102   6.87   5.58   4.68   3.10   0.80   1.62
197103   7.39   5.85   5.70   6.64   4.00   2.43
197104   1.95   3.05   2.38   4.52   1.86   5.10
197105  -5.63  -6.26  -5.90  -2.41  -4.15  -3.30
197106  -1.67  -2.43  -3.03   0.74   0.72  -2.17
197107  -7.92  -6.05  -5.63  -4.38  -4.29  -5.40
197108   4.41   3.40   5.01   5.61   3.16   8.55
197109   0.59  -0.73  -1.41   0.47  -1.10  -2.94
197110  -6.92  -5.37  -6.47  -4.88  -4.40  -5.09
197111  -3.73  -3.68  -4.96  -0.61  -1.31  -1.96
197112  13.90  12.16  12.78  11.22   9.78  11.57
197201  11.81  11.69  15.57   2.67   2.10   6.32
197202   5.36   4.25   4.61   5.03   1.49   2.05
197203   1.32  -0.86  -0.50   1.01   0.58  -0.36
197204  -0.66   0.02   0.79   0.13  -0.14   2.42
197205  -3.39  -2.54  -2.86   1.89  -1.23  -0.99
197206  -4.25  -3.28  -3.75  -2.04  -3.17  -6.04
197207  -5.32  -3.27  -2.49  -2.11  -1.95  -1.52
197208  -1.08   0.56   1.37   1.34   4.73   6.71
197209  -4.22  -3.84  -3.41  -1.84  -1.79  -2.62
197210  -3.04  -1.46  -2.48  -0.58   1.57   0.62
197211   3.30   4.78   5.15   5.01   7.27   9.78
197212  -2.27  -2.91  -2.79   1.20  -1.49  -3.12
197301  -7.23  -3.25  -1.32  -6.42  -5.87  -3.61
197302 -10.72  -8.18  -6.45  -7.21  -4.95  -4.00
197303  -5.12  -2.67  -1.72  -3.36  -1.95   0.56
197304 -11.77  -6.92  -5.43  -9.19  -4.62  -3.42
197305 -11.38  -9.57  -8.84  -6.05  -3.96  -4.20
197306  -5.30  -3.59  -2.25  -4.19  -2.00  -1.82
197307  18.30  13.08  10.10  12.55   5.10   6.19
197308  -4.66  -6.09  -4.54  -2.80  -2.27  -1.05
197309  11.21   8.41   6.20   8.78  10.27   9.58
197310  -2.03   0.74   1.29  -2.14   0.13   1.22
197311 -22.91 -18.79 -17.26 -17.38 -14.04 -12.46
197312  -3.95  -5.23  -5.47  -0.98   2.35   4.50
197401  13.03  16.75  19.71   1.67   5.56   7.76
197402   0.02   0.95   1.86  -1.83   1.97   2.07
197403   0.85   1.19   2.67  -1.34  -3.19  -2.08
197404  -6.17  -5.43  -3.77  -6.64  -6.60  -4.45
197405  -7.94  -7.28  -6.17  -6.19  -6.36  -6.61
197406  -3.36  -2.66  -1.58  -3.42  -3.90  -3.26
197407  -6.93  -4.48  -3.70  -8.08  -2.37  -1.60
197408  -8.91  -7.63  -7.18 -11.29  -7.89  -5.88
197409 -11.54  -6.90  -7.35 -11.05  -6.06  -7.27
197410  13.65   6.88   7.49  21.06  12.13  10.15
197411  -6.18  -5.01  -6.40  -3.31  -2.12  -4.17
197412  -8.58  -7.35 -10.10  -3.99  -2.81  -5.52
197501  30.75  32.19  36.52  17.55  21.86  27.03
197502   8.14   3.82   4.91   6.78   3.13   4.07
197503  10.43   9.26  11.19   5.78   4.40   5.99
197504   7.09   3.30   2.06   5.60   3.15   5.98
197505  11.15   7.97   7.52   6.49   6.15   3.87
197506   8.03   8.27   8.87   5.73   7.06   8.15
197507  -1.41  -0.37   1.18  -6.66  -4.75  -4.72
197508  -5.67  -4.39  -6.30  -3.65  -2.26  -2.77
197509  -4.56  -2.96  -3.50  -4.34  -3.54  -4.23
197510   0.71   2.21   0.52   5.51   5.66   5.46
197511   1.18   1.54   2.52   2.95   4.27   4.56
197512  -1.01  -0.42  -0.37  -1.28   0.35   1.01
197601  15.44  20.13  25.35  12.45  16.19  19.87
197602   8.84  10.44  19.05   0.78   3.61   7.39
197603   1.75   2.44   2.27   1.40   1.97   2.51
197604  -0.32  -1.15  -0.82  -1.47  -0.70  -1.72
197605  -1.11  -1.98  -3.71  -1.14  -1.39  -1.06
197606   2.93   2.73   2.10   4.77   5.92   6.69
197607  -0.74   0.40   0.57  -1.07   0.19   0.71
197608  -3.67  -1.46  -1.76  -1.47   0.21  -0.98
197609   1.79   1.63   1.12   2.41   2.57   2.47
197610  -2.49  -2.15  -2.46  -2.47  -1.65  -3.06
197611   3.05   2.42   2.32   1.88   3.21   3.60
197612  11.36  10.23  11.39   6.09   7.96   8.42
197701   3.85   4.35   5.88  -4.95  -1.62   0.32
197702   0.28  -0.38   1.25  -2.50  -1.82  -1.88
197703   1.29   0.96   1.33  -0.99   0.37   1.66
197704   1.38   1.26   2.52  -0.10   2.32   3.51
197705  -0.45   0.28   1.20  -0.92  -0.28  -1.23
197706   5.75   5.95   5.88   5.81   4.59   4.72
197707   0.97   1.19   1.96  -1.44  -1.26  -2.60
197708   0.47  -0.29  -1.17  -0.36  -2.47  -2.21
197709   1.99   1.64   1.23   0.22   0.08  -0.58
197710  -3.21  -2.11  -1.64  -3.94  -3.10  -4.04
197711   8.31   7.36   7.65   5.90   5.79   6.40
197712   3.16   2.23   2.20   0.34   0.70   0.51
197801  -1.91  -1.41   0.92  -6.36  -5.05  -2.45
197802   2.33   3.26   3.72  -1.04  -0.24  -1.11
197803   7.15   7.42   7.54   4.61   4.75   5.19
197804   9.65   7.93   8.24   9.40   6.47   6.80
197805   7.89   8.05   8.27   3.95   2.80   2.67
197806   0.37   1.35   1.40  -1.09  -0.46  -0.57
197807   6.50   5.12   4.62   6.23   4.96   6.67
197808  10.35  10.46  10.65   5.76   4.80   3.88
197809  -0.17   0.18   1.52  -2.22  -0.61  -0.56
197810 -23.43 -19.22 -19.06 -13.96 -11.97 -13.24
197811   7.26   5.03   3.45   4.08   3.25   2.58
197812   2.35   2.03   0.32   1.68   0.90   0.16
197901  10.36   9.67  11.49   5.12   6.54   8.13
197902  -2.87  -2.00  -1.24  -4.07  -2.79  -3.28
197903  11.42   7.98   7.41   7.37   6.94   9.04
197904   2.55   3.13   3.57   1.10   0.52   0.66
197905  -1.94  -0.47   0.99  -1.89  -0.69  -0.77
197906   6.74   5.09   4.71   4.95   6.06   5.83
197907   1.96   2.88   2.21   2.34   2.87   3.51
197908   9.08   7.42   7.22   8.13   5.81   5.46
197909  -0.07  -0.36  -0.26   0.31  -0.56  -2.26
197910 -10.17  -9.93  -9.72  -7.54  -8.32  -9.58
197911   9.55   5.92   4.55   8.28   6.85   4.88
197912  10.12   6.28   5.55   4.34   2.25   2.89
198001  12.10   9.97  10.48   5.63   4.98   5.59
198002   0.54  -1.57  -1.20  -3.06  -3.52  -3.13
198003 -20.04 -16.09 -15.57 -10.53 -10.80 -11.89
198004   5.25   5.69   4.07   5.18   6.92   7.50
198005   7.41   7.38   6.92   7.25   7.87   7.74
198006   4.79   3.87   4.19   3.98   3.65   3.10
198007  12.56   9.53   7.79  11.32   6.69   4.61
198008  10.44   7.02   6.00   4.11   2.50   0.85
198009   6.66   4.30   3.86   4.67   2.66  -0.09
198010   7.42   3.12   3.12   1.80   0.89  -0.73
198011  12.33   4.25   1.80  11.31   6.93   2.97
198012  -5.08  -3.00  -2.64  -2.59  -0.82   0.08
198101  -1.83   1.93   3.72  -4.41  -1.70   1.81
198102  -1.45   1.47   1.94   2.53   2.15   1.11
198103   7.24   8.97   7.90   6.79   7.63   8.34
198104   3.00   4.13   4.64  -0.05   0.32   0.60
198105   3.87   3.65   2.88   1.56   1.33   2.89
198106  -4.33   1.79   1.86  -3.35   0.96   1.24
198107  -3.57  -2.44  -1.26   0.49  -2.53  -1.87
198108 -11.10  -6.31  -4.88  -7.49  -5.31  -3.79
198109 -11.93  -7.62  -6.29  -7.23  -5.02  -3.72
198110  10.03   6.81   4.61   9.47   5.45   4.33
198111  -1.08   3.49   2.60   2.93   4.34   5.27
198112  -3.31  -1.17  -1.29  -2.73  -1.63  -3.08
198201  -2.65  -1.32  -0.09  -4.10  -3.68  -0.53
198202  -7.30  -2.94  -0.78  -7.22  -2.87  -0.38
198203  -2.24  -0.66   0.82  -2.31  -0.37   0.91
198204   6.32   5.36   4.74   5.72   4.43   4.63
198205  -3.04  -1.43  -0.89  -4.13  -4.18  -3.06
198206  -5.45  -2.26  -0.84  -4.18  -1.07  -1.25
198207  -2.97  -0.66  -0.07  -1.88  -2.91  -2.88
198208   5.39   5.77   4.49  11.22  12.73  12.98
198209   1.30   4.78   4.94   2.15   3.65   0.85
198210  15.41  12.20  11.45  14.89  12.59  12.05
198211   9.00  10.86  11.49   7.15   4.74   5.39
198212   2.33   3.37   2.39   0.97   0.46   2.42
198301  16.23   9.66   8.76   3.42   3.27   3.87
198302   3.46   7.50   8.40   4.17   3.12   3.75
198303   3.53   6.73   6.86   2.73   4.64   4.41
198304   7.82   8.91   8.00   5.21   7.11   6.38
198305  12.71   8.51   9.42   4.06   3.08   1.74
198306   5.61   5.27   4.68   4.89   3.11   0.45
198307  -4.72  -0.04   1.60  -5.14  -2.20  -1.05
198308  -5.31  -3.58  -2.19  -2.80   0.30   3.18
198309  -1.81   0.80   1.55   2.81   2.84   2.90
198310  -9.18  -5.12  -2.85  -5.85  -1.80  -0.84
198311   3.10   2.95   3.17   5.49   3.28   3.59
198312  -4.24  -1.50   0.31  -2.11  -1.11  -0.79
198401  -1.10   1.51   3.50  -6.29  -0.73   0.56
198402  -7.37  -5.17  -3.66  -6.04  -5.04  -3.64
198403  -0.77   1.23   2.41   0.71   2.26   2.05
198404  -3.36  -1.18  -1.24   0.02  -0.89  -1.21
198405  -5.98  -4.02  -3.06  -5.11  -4.55  -6.11
198406   1.80   1.79   0.96   5.37   1.87   1.04
198407  -6.76  -4.28  -2.84  -2.73  -2.99  -1.73
198408  10.36   8.54   7.51  12.98  11.80  10.92
198409  -2.19   0.71   1.76  -2.37   0.05   3.29
198410  -3.65  -2.14  -1.32  -0.75   0.29   0.78
198411  -5.87  -2.62  -2.15  -2.85  -0.50   1.48
198412  -0.03   0.10   0.82   3.64   2.30   2.31
198501  15.68  12.32   9.12  12.24   9.05   6.98
198502   5.83   5.30   4.08   1.93   1.58   1.38
198503  -2.21  -2.03   0.31  -2.17  -0.30   2.48
198504  -2.73  -0.88   0.25  -2.06  -1.05   1.28
198505   1.97   2.50   1.34   6.09   5.91   5.64
198506  -0.66   0.32   1.07   2.29   1.97   1.84
198507   1.99   2.21   2.10  -0.12   0.19  -0.29
198508  -1.51  -0.20  -0.58  -1.56   0.29   0.43
198509  -7.64  -5.00  -4.48  -4.94  -3.56  -5.26
198510   1.02   2.12   0.74   4.78   5.16   5.17
198511   5.10   5.23   5.35   8.06   7.54   5.06
198512   2.78   3.66   1.54   4.75   3.22   4.90
198601   4.46   3.04   4.72   0.79   1.95   2.90
198602   6.04   5.97   5.92   8.32   8.15   7.24
198603   4.10   5.11   5.75   6.32   5.64   4.73
198604   1.88   1.36   1.82   1.05  -0.89  -3.67
198605   2.61   4.37   3.14   5.99   5.09   4.62
198606   0.09  -0.05   2.09   1.33   0.80   1.88
198607  -9.91  -7.51  -6.40  -7.93  -6.31  -3.19
198608   0.19   1.73   2.26   5.04   7.80   9.16
198609  -8.41  -4.73  -3.11  -8.93  -6.92  -6.37
198610   3.01   2.46   0.94   6.66   4.67   4.81
198611  -1.40  -0.24  -0.52   0.84   0.86   0.76
198612  -4.92  -2.79  -2.90  -3.50  -2.46  -2.71
198701  11.52  11.68  11.13  14.24  11.77  10.24
198702  10.03   7.26   6.96   7.91   5.88   1.77
198703   2.95   3.77   5.73   1.08   1.10   1.21
198704  -2.59  -1.72  -0.51  -2.86  -2.33  -2.40
198705  -0.35   0.19   2.65   1.16  -0.33   0.51
198706   1.90   2.96   2.97   4.57   5.12   4.14
198707   2.05   3.24   6.36   4.74   3.97   4.39
198708   0.66   2.13   1.74   3.79   4.03   2.25
198709  -2.08  -0.80  -0.80  -2.44  -2.16  -1.25
198710 -32.29 -28.04 -26.68 -25.92 -23.57 -19.84
198711  -7.28  -4.96  -4.26  -7.06  -5.65  -3.95
198712   2.83   3.47   2.18  11.08   8.37   3.99
198801   8.72   7.20   8.29   3.54   5.76   7.94
198802   6.56   7.52   6.71   8.21   6.87   4.55
198803   3.98   5.38   4.63  -0.52  -0.96   0.02
198804   1.11   1.89   2.71  -0.64   0.86   0.46
198805  -3.38  -1.49  -0.50  -0.82   0.22   2.12
198806   5.24   6.22   4.34   6.05   6.97   5.79
198807  -0.40   0.44   0.19  -2.89  -1.11  -0.59
198808  -3.30  -1.93  -1.22  -3.27  -1.83   0.01
198809   2.06   2.04   2.25   3.81   3.83   3.40
198810  -2.84  -1.30  -1.16   0.30   1.20   1.72
198811  -5.56  -3.78  -3.52  -2.19  -2.71  -1.32
198812   2.19   3.63   2.15   3.42   2.29   1.10
198901   6.85   5.67   7.00   6.44   5.76   6.78
198902   0.87   1.05   0.65  -1.02  -0.53  -0.04
198903   0.79   3.30   2.62   0.83   2.08   1.83
198904   3.13   3.25   3.47   5.81   4.67   4.11
198905   2.53   2.53   4.31   4.76   4.05   4.55
198906  -3.09  -1.05   0.40  -1.58  -0.70   1.57
198907   2.49   3.19   1.57   8.32   6.66   5.52
198908   1.35   1.82   1.54   2.76   3.96   2.09
198909   1.02  -0.27   0.55  -0.10  -1.61   0.06
198910  -4.54  -5.27  -5.40  -3.17  -5.43  -3.06
198911  -1.35  -0.46  -2.71   1.95   0.81   0.80
198912  -1.75  -1.17  -1.61   1.79   1.11   2.56
199001  -6.51  -5.09  -4.19  -7.57  -7.37  -7.95
199002   2.04   2.13   2.37   1.48   1.83   2.44
199003   3.78   3.42   2.52   4.42   1.60  -0.04
199004  -1.53  -1.74  -2.91  -2.42  -4.88  -5.76
199005   6.66   4.96   2.04  10.72   8.32   7.66
199006   1.96   1.16   0.09   0.36  -2.07  -1.30
199007  -3.65  -3.30  -2.52  -2.51  -2.31  -2.09
199008 -15.06 -11.49  -9.88 -11.16  -9.88  -9.40
199009  -9.41  -7.75  -7.04  -6.74  -7.47  -6.74
199010  -6.90  -5.61  -6.42  -1.88  -3.96  -2.07
199011   4.89   3.85   1.38  10.08  10.12   7.52
199012  -0.32   0.92  -1.71   4.83   4.30   3.44
199101   8.85  10.00  11.33   7.48   6.56   5.68
199102  15.76  12.42  14.07   8.79   8.78   8.05
199103   9.26   8.62   9.28   4.12   2.25   4.39
199104   4.07   3.62   3.15  -0.46   2.04   0.51
199105   2.77   3.84   2.41   4.15   5.17   3.68
199106  -4.27  -3.03  -3.05  -5.02  -4.76  -3.47
199107   3.27   2.92   3.61   5.29   3.84   5.69
199108   3.17   3.61   3.48   3.00   2.81   3.12
199109   2.86   0.63  -0.04  -1.24  -0.35  -1.81
199110   3.78   2.46   1.81   1.40   2.05   2.67
199111  -1.50  -2.52  -2.42  -3.20  -4.17  -4.94
199112   3.69   3.29   2.59  12.69   8.59  10.43
199201  19.08  13.62  22.41   0.66   1.33   5.67
199202   4.89   4.35   8.57   0.93   2.49   5.17
199203  -3.33  -0.46   1.21  -3.51  -1.40  -1.12
199204  -6.96  -4.39  -2.49  -1.37   1.88   3.18
199205  -1.16   0.60   1.80   0.84   1.14   0.85
199206  -7.76  -3.94  -3.40  -2.66  -2.13   0.22
199207   0.89   2.18   2.66   4.60   4.63   3.15
199208  -3.75  -2.02  -2.46  -1.62  -2.25  -3.67
199209   1.26   1.73   1.13   2.14   1.62   1.61
199210   2.40   2.26   1.72   3.94   0.98   2.24
199211   8.92   7.78   7.57   6.39   4.08   4.10
