This file was created by CMPT_ME_BEME_RETS using the 201402 CRSP database.
It contains value- and equal-weighted returns for the intersections of  2
ME portfolios and  3 BE/ME portfolios.   

The portfolios are constructed at the end of Jun.  ME is market cap at the end
of Jun.  BE/ME is book equity at the last fiscal year end of the prior calendar
year divided by ME as of  6 months before formation.  Firms with negative
BE are not included in any portfolio.

The annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Average Value Weighted Returns -- Monthly
               Small                 Big         
          Low     2    High    Low     2    High 
193408  12.18   9.13  11.20   6.32   4.40   5.74
193409  -1.78   0.37  -3.42  -0.20  -0.22  -0.06
193410  -0.91  -1.32  -3.97  -0.56  -2.72  -7.53
193411  19.43  15.25  12.89  10.27   5.09  10.85
193412   3.80   1.85   1.94   0.78   0.49  -2.24
193501  -6.27  -3.28  -3.25  -2.94  -2.92  -9.17
193502  -5.28  -3.81  -6.07  -0.75  -1.73 -13.12
193503  -5.67  -7.59 -11.14  -2.93  -3.35  -7.93
193504   7.03   8.54  10.46   7.94   9.89  13.10
193505  -1.62   1.43   1.69   3.12   4.41   4.04
193506  -2.05   6.44   0.61   6.24   5.62   8.09
193507  10.02  13.15  13.20   6.99   6.31  17.17
193508   3.69   9.27  15.48   2.42   2.24   3.33
193509   5.50   5.33  -1.48   4.55   0.68   1.77
193510  11.05  10.98   8.08   6.52   8.05   5.61
193511   6.09  10.23  19.25   3.00   5.53  14.61
193512   6.57   9.86   2.41   3.15   5.82   8.71
193601  10.68   8.72  22.58   3.07   9.54  12.07
193602   2.93   6.14   5.46   1.92   2.82   7.54
193603   0.20   2.96   1.30   2.61   0.18  -1.50
193604 -14.22 -13.90 -15.64  -6.81  -8.35 -10.25
193605   5.10   5.04   8.94   5.03   5.16   6.50
193606  -2.41   0.85  -1.03   3.55   2.07   0.22
193607  10.53   7.79  10.36   5.92   6.23  12.10
193608   0.45   2.43   4.36   0.31   0.74   4.37
193609   3.10   4.52   4.30   0.93   1.10   0.43
193610   4.20   6.22   6.71   6.41   8.84   8.63
193611  11.50   8.83  12.16   3.39   3.15  -0.54
193612   1.79   3.61   5.87  -1.85   2.39   1.31
193701   7.41   7.10   9.63   3.60   1.38   6.42
193702   3.53   1.67   7.16  -0.23   0.82   6.85
193703  -3.65   0.31   0.99  -1.71  -0.20   6.32
193704  -9.21 -11.69 -13.46  -6.81  -6.11 -10.77
193705   0.16  -0.94  -4.76   0.20  -0.74  -2.92
193706  -7.17  -7.55 -10.47  -4.17  -2.75  -7.42
193707  11.21   9.53  10.31   8.91   8.09  11.00
193708  -4.56  -5.41  -5.45  -4.12  -4.63  -7.92
193709 -20.65 -20.91 -23.06 -12.33 -12.74 -18.38
193710 -11.17  -9.68  -9.82 -10.22  -7.59 -14.35
193711 -11.84 -12.11 -11.50  -8.67  -7.59  -8.58
193712 -13.86 -10.64 -12.42  -3.72  -3.07  -7.23
193801   5.11   6.63   3.45   1.11  -0.10  -0.64
193802   8.70   5.78   4.44   6.12   5.67   5.85
193803 -30.17 -28.63 -29.96 -23.36 -22.50 -30.30
193804  22.01  20.68  20.50  13.24  14.44  15.74
193805  -7.41  -7.84  -5.90  -3.58  -3.72  -5.37
193806  31.57  29.56  28.44  25.70  20.87  29.51
193807  13.57  14.54  14.48   6.82   7.46   8.55
193808  -5.09  -5.24  -9.28  -0.44  -6.13  -5.13
193809  -2.19  -2.29  -2.67   1.37   0.48  -0.48
193810  14.55  15.08  16.55   6.76   6.96  14.96
193811  -5.28  -2.14  -6.37  -1.08  -2.15  -3.23
193812   6.09   3.99   1.65   3.41   4.44   8.31
193901  -8.23  -9.15  -9.93  -5.24  -6.27  -9.79
193902   3.52   5.13   6.24   3.35   2.88   7.12
193903 -18.33 -18.86 -23.14  -9.78 -13.47 -20.58
193904  -0.47   0.19   2.35  -0.19  -0.12  -2.40
193905  11.68   9.23   9.54   6.87   5.47   8.96
193906  -7.07  -8.16 -11.36  -4.39  -6.42 -10.80
193907  15.74  16.21  14.01  11.10   8.58  13.84
193908 -12.47 -11.64 -12.96  -6.17  -5.99 -10.88
193909  36.89  38.85  54.66  13.63  16.78  40.99
193910   0.56  -0.64  -4.82   0.03  -0.81  -4.34
193911  -7.98  -9.01 -13.55  -2.52  -3.72  -9.70
193912   5.89   2.72   0.01   3.52   2.45   1.01
194001  -4.47  -2.24  -2.79  -2.11  -2.51  -5.22
194002   4.24   3.85   3.22   1.19   1.42   1.47
194003   4.65   3.03   2.15   2.31   1.53   2.30
194004   4.41   3.03   4.12  -0.02   0.02   0.27
194005 -26.93 -27.28 -32.51 -21.97 -20.88 -24.75
194006   3.60   5.17   7.94   4.93   8.28  10.57
194007   5.28   4.84   3.34   3.36   3.11   3.20
194008   2.94   3.15   2.06   2.18   1.73   3.54
194009   6.08   4.72   4.94   3.18   1.20   1.04
194010   3.62   6.14   5.15   0.91   6.17   8.44
194011   0.19   0.67   0.26  -1.95  -1.30  -0.55
194012  -0.44  -1.13  -2.75   0.61   0.97   0.41
194101  -4.49  -2.85  -0.01  -4.99  -3.80  -1.62
194102  -3.68  -1.75  -2.58  -1.61  -1.49  -0.44
194103   0.28   1.34   3.89   0.49   1.27   3.25
194104  -7.78  -5.58  -5.21  -6.46  -4.57  -1.98
194105   1.57   1.08   1.06   0.99   2.65   2.21
194106   4.69   6.33   8.53   6.21   5.55   3.10
194107  10.54  10.83  18.82   3.47   8.15  10.70
194108  -1.25  -1.98  -0.76   0.69  -0.96  -1.97
194109  -3.18  -1.71  -1.93   0.04  -2.33  -1.26
194110  -5.91  -6.21  -6.27  -5.83  -3.41  -2.32
194111  -1.22  -3.65  -3.14  -2.19  -0.77  -1.03
194112  -5.69  -8.87 -12.47  -4.67  -3.68  -9.42
194201   7.03  10.40  14.95  -1.68   0.60  10.54
194202   0.62  -0.95  -1.87  -2.27  -2.89  -2.05
194203  -5.00  -3.33  -6.04  -5.98  -7.58  -5.75
194204  -6.37  -3.77  -3.85  -4.52  -4.34  -3.14
194205   0.32   2.71   1.19   7.34   5.02   0.54
194206   1.07   1.52   2.46   2.87   2.76   2.41
194207   5.08   3.66   5.04   2.67   4.32   7.62
194208   1.96   2.51   2.46   1.70   1.77   4.16
194209   1.95   2.86   5.87   2.63   2.88   3.62
194210   8.38   7.92  14.38   5.26   7.90  12.13
194211  -1.06  -2.17  -4.07   1.07   0.33  -4.43
194212   2.76   3.76   3.12   4.85   5.94   5.91
194301  12.23  13.72  23.03   5.35   7.99   9.69
194302  10.94   9.28  17.05   4.81   7.02  11.20
194303  11.29  11.55  15.00   4.22   7.17  10.99
194304  -1.00   2.74   7.87  -0.17   1.31   2.50
194305   9.04   9.08  13.27   5.06   5.63   7.15
194306  -0.35   0.92   0.45   2.08   2.13  -0.06
194307  -5.35  -6.70  -9.03  -4.74  -3.63  -5.49
194308   0.56   0.10   0.66   1.45   1.26   0.27
194309   3.04   2.96   5.40   2.19   2.73   2.64
194310  -0.70  -0.45   0.79  -1.42  -0.99   0.40
194311  -7.16  -7.87 -10.56  -4.68  -6.66  -9.31
194312   7.40  10.57  12.00   5.71   6.88   7.47
194401   4.95   4.75   5.25   0.83   1.60   4.76
194402   1.38   0.92   0.66   0.05   0.81   2.36
194403   2.16   3.60   7.61   2.19   2.57   3.40
194404  -1.95  -2.74  -4.08  -1.40  -1.86  -1.58
194405   5.69   7.33   6.93   4.59   4.98   5.58
194406   9.25   9.79  10.47   4.90   5.20   7.35
194407   0.21  -1.13  -1.25  -1.68  -1.43  -0.83
194408   5.00   3.97   2.01   1.36   1.25   1.13
194409   1.59  -0.11  -0.13   0.33  -0.26  -0.25
194410   0.19   0.73  -0.63  -0.07   0.84  -0.10
194411   1.03   3.04   3.40   1.16   2.24   3.17
194412   5.96   6.89  10.67   2.47   4.56   9.71
194501   5.39   4.67   4.60   0.76   2.98   3.42
194502   6.50   8.89  10.47   5.14   6.16   9.98
194503  -4.28  -6.37  -6.41  -3.20  -4.36  -4.72
194504   7.65   8.95  10.07   6.76   8.01  10.84
194505   2.81   2.06   4.30   2.02   1.06   1.40
194506   2.89   2.31   6.92  -1.20   0.76   3.50
194507  -3.24  -3.51  -5.60  -1.35  -1.87  -4.45
194508   7.99   7.67   4.76   8.33   4.64   2.72
194509   7.22   6.45   6.26   4.62   4.29   5.73
194510   5.75   6.71   7.46   2.52   4.86   5.41
194511   9.60   9.67  11.73   2.94   5.67   9.38
194512   3.86   3.52   1.57   1.69   1.20  -0.52
194601   9.70   8.35  12.89   6.26   4.88   7.69
194602  -6.07  -6.78  -7.67  -5.91  -4.92  -7.29
194603   6.72   6.03   5.90   5.14   6.92   5.18
194604   4.74   7.78   6.18   3.71   5.27   2.64
194605   6.96   5.12   5.92   3.16   3.52   6.35
194606  -4.76  -5.20  -5.96  -4.36  -2.69  -4.11
194607  -4.74  -3.99  -4.75  -2.81  -2.31  -2.38
194608  -8.41  -8.03  -7.50  -6.28  -6.25  -6.21
194609 -13.87 -13.59 -15.81  -9.75  -8.47 -11.81
194610  -3.07  -0.96   0.53  -2.54  -1.64   0.44
194611  -1.24  -0.77   1.13  -0.17   0.75  -0.25
194612   5.64   4.54   4.27   5.24   5.25   3.94
194701   4.05   2.53   2.98   2.16  -0.47   2.02
194702  -1.13  -0.72   1.05   0.11  -1.37  -1.78
194703  -3.17  -3.51  -2.41  -1.73  -1.05  -1.50
194704  -9.02  -7.92  -8.11  -5.15  -3.67  -4.61
194705  -5.02  -4.14  -3.78  -1.09   0.15  -2.00
194706   4.15   5.32   4.99   6.38   4.56   4.52
194707   5.18   6.30   7.11   3.52   3.51   7.26
194708  -1.88  -1.47  -1.31  -1.86  -1.43  -2.23
194709   0.23   0.32   2.68  -0.68  -0.66  -0.18
194710   3.69   3.28   2.95   2.22   2.98   3.04
194711  -4.45  -3.46  -2.57  -2.07  -1.53  -1.77
194712   0.04   1.39   3.10   2.01   3.46   6.59
194801  -1.72  -2.41  -0.36  -4.53  -4.01  -3.37
194802  -6.00  -6.21  -5.90  -4.65  -3.69  -4.71
194803   6.53   8.07  12.41   7.81   7.69  11.05
194804   1.23   2.92   4.58   2.27   4.40   7.09
194805   9.15   8.87   7.46   8.50   6.47   7.82
194806  -2.71  -1.72   0.34  -0.62   0.34   1.71
194807  -4.98  -5.28  -5.46  -5.01  -5.30  -4.35
194808  -1.14  -0.54  -0.37   0.87  -0.21   0.59
194809  -2.95  -4.21  -5.51  -2.72  -2.44  -3.73
194810   3.94   4.75   5.30   6.43   5.83   6.27
194811  -9.30  -9.76 -12.95  -8.34  -8.73 -13.39
194812   1.26   0.08   0.16   4.92   2.76   2.30
194901   1.03   1.77   2.97   0.57  -1.06   1.33
194902  -5.38  -3.85  -5.61  -2.48  -2.73  -4.04
194903   5.98   5.46   8.21   4.25   3.41   5.04
194904  -1.79  -3.11  -3.34  -2.06  -0.66  -2.62
194905  -3.73  -3.69  -5.13  -1.87  -3.08  -5.31
194906  -1.33  -1.17  -1.13   1.10   0.24  -2.45
194907   6.53   7.27   5.75   5.24   5.76   6.81
194908   3.25   3.59   2.11   2.71   2.72   2.98
194909   5.41   4.15   4.04   2.65   3.64   4.35
194910   5.09   3.50   4.10   3.26   3.03   3.33
194911   0.52   1.03   0.20   2.93   0.16   1.52
194912   6.96   6.51   8.78   5.32   3.88   6.80
195001   7.25   4.65   4.68   0.87   1.95   3.75
195002   1.67   1.88   0.70   1.58   1.50   0.98
195003   2.44  -1.03  -2.01   1.92   0.94   0.76
195004   5.79   5.37   7.31   4.35   2.98   5.50
195005   1.61   2.82   3.01   4.64   5.06   4.02
195006  -7.02  -7.85  -9.01  -5.45  -6.33  -4.97
195007   1.01   3.37  11.48  -3.46   4.47  13.10
195008   4.50   5.58   5.05   6.10   4.13   2.58
195009   5.71   4.97   4.97   5.75   3.83   4.56
195010  -0.27  -0.39   0.42  -0.18  -0.50   1.99
195011   0.30   2.13   4.92   2.41   3.40   4.20
195012   5.20   7.49  12.38   3.33   6.65  10.58
195101   6.75   6.96  10.72   5.17   5.41   8.67
195102   1.82   1.27  -0.10   2.23   1.87  -1.61
195103  -1.51  -3.29  -5.59  -0.71  -2.69  -4.97
195104   2.22   3.81   6.34   4.42   5.67   6.78
195105  -1.75  -2.51  -3.33  -2.34  -1.81  -3.55
195106  -3.94  -4.71  -7.27  -2.19  -1.07  -6.79
195107   5.41   5.01   6.87   6.65   7.30   9.06
195108   5.52   5.56   5.07   4.16   4.37   5.10
195109   2.39   2.85   3.14   0.62   0.38   1.36
195110  -1.95  -1.68  -3.64  -3.78  -0.49  -1.84
195111  -0.16   0.80   0.60   0.84   0.53   0.83
195112   1.35   0.93   0.55   4.18   3.81   1.07
195201   1.39   1.83   1.56   0.50   2.44   4.06
195202  -2.34  -1.97  -1.89  -2.19  -2.91  -3.09
195203   1.24   2.20   3.41   4.32   4.97   6.59
195204  -5.11  -4.78  -3.87  -4.59  -5.11  -5.29
195205   2.13   2.18   2.65   3.74   2.84   3.58
195206   1.66   2.84   3.34   3.87   4.29   4.53
195207   1.06   1.47   0.02   1.24   0.65   1.59
195208   0.21   0.90   0.18  -0.75  -0.53  -0.93
