Date,Open,High,Low,Close,Volume,Adj Close
2011-03-01,32.60,33.48,31.06,31.44,21776900,31.44
2011-02-01,33.34,34.04,31.85,32.57,17102600,32.19
2011-01-03,36.29,37.62,33.00,33.17,24605500,32.79
2010-12-01,34.75,36.99,34.67,36.04,13025400,35.62
2010-11-01,36.44,36.95,33.94,34.47,18252300,33.71
2010-10-01,36.76,37.68,36.02,36.31,10965200,35.51
2010-09-01,35.38,37.58,34.52,36.81,13580300,36.00
2010-08-02,34.86,35.99,34.02,35.16,11558600,34.03
2010-07-01,34.83,36.80,33.65,34.46,15458300,33.35
2010-06-01,33.43,36.25,32.99,34.97,18739500,33.85
2010-05-03,35.29,36.36,30.70,33.69,23615500,32.25
2010-04-01,37.64,37.97,33.54,35.04,19510400,33.54
2010-03-01,37.03,39.04,36.10,37.35,14845600,35.75
2010-02-01,38.56,39.72,35.76,36.88,16742700,34.94
2010-01-04,36.82,41.56,36.55,38.18,17762300,36.17
2009-12-01,36.29,38.42,36.10,36.54,13851500,34.62
2009-11-02,31.12,36.96,30.29,36.21,24515200,33.96
2009-10-01,31.74,34.18,30.83,30.93,23245500,29.00
2009-09-01,32.29,32.93,29.94,31.63,16732500,29.66
2009-08-03,30.45,33.05,28.69,32.43,15081200,30.05
2009-07-01,28.10,31.18,25.05,30.01,19803300,27.81
2009-06-01,27.71,28.05,24.37,27.96,21426100,25.91
2009-05-01,24.23,27.61,23.81,27.58,22691400,25.20
2009-04-01,26.49,27.60,22.33,24.24,22262600,22.15
2009-03-02,23.82,28.12,20.05,26.75,27536200,24.44
2009-02-02,28.09,30.93,24.17,24.20,17624800,21.75
2009-01-02,30.46,31.66,26.87,28.55,14022400,25.66
2008-12-01,26.37,30.57,24.13,30.40,15520400,27.32
2008-11-03,30.93,31.30,22.82,26.72,15487400,23.67
2008-10-01,31.42,32.46,23.64,30.95,21238900,27.42
2008-09-02,35.62,36.08,30.34,31.56,17140300,27.96
2008-08-01,33.09,36.73,32.74,35.67,12893800,31.26
2008-07-01,37.41,38.90,31.15,32.90,23975100,28.83
2008-06-02,38.96,38.99,34.49,37.69,21150200,33.03
2008-05-01,37.81,40.45,37.80,38.96,14208500,33.80
2008-04-01,38.39,42.24,36.80,38.04,27918500,33.00
2008-03-03,44.69,45.73,36.82,37.95,23162000,32.92
2008-02-01,46.20,48.23,44.13,44.30,15914000,38.10
2008-01-02,58.15,61.18,42.32,46.10,23517400,39.65
2007-12-03,58.76,61.62,56.56,58.11,11663100,49.98
2007-11-01,57.88,60.49,54.06,59.36,15305500,50.72
2007-10-01,52.00,58.26,51.44,58.26,10981900,49.78
2007-09-04,50.49,52.83,48.80,51.69,10704900,44.17
2007-08-01,49.62,52.74,48.11,50.17,11306500,42.54
2007-07-02,49.91,53.81,48.43,49.65,14499100,42.10
2007-06-01,52.52,52.90,48.00,49.80,13396700,42.23
2007-05-01,51.65,55.14,50.54,52.45,11190000,44.15
2007-04-02,44.59,52.63,44.52,51.44,13248600,43.30
2007-03-01,43.95,44.96,42.76,44.17,10697800,37.18
2007-02-01,44.90,45.44,42.35,44.15,11848400,36.84
2007-01-03,44.03,46.55,43.16,44.75,9489500,37.34
2006-12-01,44.65,45.90,42.63,43.60,10313800,36.39
2006-11-01,45.99,46.32,42.29,44.51,12991900,36.83
2006-10-02,42.15,46.37,41.24,45.42,10613800,37.59
2006-09-01,40.52,42.51,39.90,41.90,8847200,34.67
2006-08-01,40.38,41.78,38.00,40.55,11080700,33.56
2006-07-03,36.90,41.76,35.00,40.27,12236800,33.02
2006-06-01,33.51,36.84,33.12,36.43,9463900,29.87
2006-05-01,34.67,35.51,32.75,33.29,10688500,27.30
2006-04-03,35.47,36.09,33.55,34.42,9219600,27.90
2006-03-01,35.05,36.50,34.34,35.23,7086800,28.55
2006-02-01,34.27,36.65,33.56,34.86,9565400,27.95
2006-01-03,32.52,34.88,31.81,34.50,11116700,27.66
2005-12-01,29.69,32.54,27.99,31.81,12969500,25.50
2005-11-01,28.45,31.01,27.80,29.40,11460600,23.57
2005-10-03,27.42,28.26,25.50,28.22,10459400,22.34
2005-09-01,28.32,29.46,26.97,27.21,8980800,21.54
2005-08-01,31.24,31.46,27.15,28.23,11885300,22.35
2005-07-01,30.80,32.34,29.90,31.06,7690000,24.26
2005-06-01,32.20,32.50,30.40,30.80,7379400,24.05
2005-05-02,34.07,35.20,32.22,32.44,8266000,25.04
2005-04-01,32.67,36.26,31.98,33.90,10558500,26.16
2005-03-01,32.06,32.60,31.10,32.37,7872300,24.98
2005-02-01,28.06,32.61,27.78,31.70,14690100,24.18
2005-01-03,31.99,32.23,27.48,28.05,14502000,21.39
2004-12-01,27.85,32.66,27.32,32.14,16271700,24.51
2004-11-01,29.34,29.80,25.60,28.02,28139700,21.08
2004-10-01,33.69,34.32,29.75,31.31,22945400,23.55
2004-09-01,44.59,45.99,32.46,33.00,19025900,24.83
2004-08-02,45.30,47.00,43.46,44.97,5189700,33.54
2004-07-01,47.65,47.73,44.25,45.35,5614800,33.83
2004-06-01,47.40,48.78,46.88,47.50,5597700,35.43
2004-05-03,47.01,48.41,45.83,47.30,5354800,35.01
2004-04-01,44.55,47.60,44.28,47.00,6250900,34.79
2004-03-01,48.42,48.60,42.85,44.19,7816300,32.71
2004-02-02,47.88,49.33,47.36,48.08,7252000,35.31
2004-01-02,48.88,48.88,45.50,47.60,9278500,34.96
2003-12-01,41.25,46.30,41.17,46.20,9196600,33.93
2003-11-03,44.25,47.15,40.57,40.60,13272900,29.56
2003-10-01,50.76,51.95,43.88,44.25,9296200,32.22
2003-09-02,50.15,54.30,50.11,50.62,6416500,36.86
2003-08-01,55.01,56.05,49.48,50.32,6751300,36.37
2003-07-01,60.50,62.69,55.03,55.28,6556300,37.82
2003-06-02,55.80,63.50,55.63,60.55,6851000,41.42
2003-05-01,58.18,59.88,54.10,55.58,6661700,37.78
2003-04-01,55.10,59.55,54.65,58.18,6567400,39.55
2003-03-03,53.35,56.85,49.90,54.78,6047100,37.24
