Date,Open,High,Low,Close,Volume,Adj Close
2011-03-01,21.61,22.08,19.71,19.90,65195300,19.90
2011-02-01,21.49,22.21,21.01,21.47,56267700,21.47
2011-01-03,21.01,21.94,20.27,21.46,77014100,21.28
2010-12-01,21.46,22.07,20.65,21.03,42571100,20.85
2010-11-01,20.35,21.81,20.22,21.16,56160100,20.98
2010-10-01,19.47,20.56,18.77,20.05,69520500,19.73
2010-09-01,17.94,19.62,17.75,19.20,67757300,18.89
2010-08-02,20.90,21.28,17.60,17.67,84245100,17.39
2010-07-01,19.43,22.28,18.96,20.60,79776000,20.11
2010-06-01,21.30,22.00,19.40,19.45,64926400,18.99
2010-05-03,22.98,23.44,19.90,21.42,95164100,20.92
2010-04-01,22.40,24.37,22.16,22.84,77725800,22.15
2010-03-01,20.68,22.75,20.26,22.29,58125200,21.61
2010-02-01,19.47,20.97,18.95,20.53,61752000,19.91
2010-01-04,20.79,21.55,19.30,19.40,84480800,18.66
2009-12-01,19.46,20.72,19.00,20.40,48385600,19.62
2009-11-02,19.05,20.50,18.31,19.20,61651500,18.47
2009-10-01,19.49,21.27,18.74,19.11,81652600,18.24
2009-09-01,20.22,20.58,19.22,19.57,53809400,18.68
2009-08-03,19.48,20.65,18.41,20.32,55367000,19.40
2009-07-01,16.67,19.80,15.78,19.25,80624800,18.24
2009-06-01,16.03,16.70,15.61,16.55,62342600,15.68
2009-05-01,15.76,16.74,15.00,15.72,70811400,14.90
2009-04-01,14.77,16.39,14.62,15.78,75386400,14.83
2009-03-02,12.51,15.89,12.07,15.03,77067700,14.12
2009-02-02,12.82,15.15,12.05,12.74,73580400,11.97
2009-01-02,14.69,15.51,12.50,12.90,65959400,12.00
2008-12-01,13.46,15.68,12.38,14.66,62033600,13.64
2008-11-03,16.13,16.39,12.06,13.80,82112000,12.84
2008-10-01,18.50,18.69,13.37,16.03,105908100,14.78
2008-09-02,23.27,23.48,17.27,18.73,81329000,17.27
2008-08-01,22.42,24.75,21.98,22.87,54259100,21.09
2008-07-01,21.29,22.62,19.71,22.19,65689200,20.34
2008-06-02,23.05,24.00,21.22,21.48,56482400,19.69
2008-05-01,22.36,25.29,22.36,23.18,57105200,21.24
2008-04-01,21.51,23.02,20.50,22.26,60830500,20.28
2008-03-03,20.06,22.45,19.44,21.18,70198800,19.29
