Date,Open,High,Low,Close,Volume,Adj Close
2011-03-01,21.61,22.08,19.71,20.46,58973400,18.34
2011-02-01,21.49,22.21,21.01,21.47,56267700,19.25
2011-01-03,21.01,21.94,20.27,21.46,77014100,19.08
2010-12-01,21.46,22.07,20.65,21.03,42571100,18.70
2010-11-01,20.35,21.81,20.22,21.16,56160100,18.81
2010-10-01,19.47,20.56,18.77,20.05,69520500,17.69
2010-09-01,17.94,19.62,17.75,19.20,67757300,16.94
2010-08-02,20.90,21.28,17.60,17.67,84245100,15.59
2010-07-01,19.43,22.28,18.96,20.60,79776000,18.03
2010-06-01,21.30,22.00,19.40,19.45,64926400,17.03
2010-05-03,22.98,23.44,19.90,21.42,95164100,18.75
2010-04-01,22.40,24.37,22.16,22.84,77725800,19.86
2010-03-01,20.68,22.75,20.26,22.29,58125200,19.38
2010-02-01,19.47,20.97,18.95,20.53,61752000,17.85
2010-01-04,20.79,21.55,19.30,19.40,84480800,16.73
2009-12-01,19.46,20.72,19.00,20.40,48385600,17.59
2009-11-02,19.05,20.50,18.31,19.20,61651500,16.56
2009-10-01,19.49,21.27,18.74,19.11,81652600,16.36
2009-09-01,20.22,20.58,19.22,19.57,53809400,16.75
2009-08-03,19.48,20.65,18.41,20.32,55367000,17.39
2009-07-01,16.67,19.80,15.78,19.25,80624800,16.36
2009-06-01,16.03,16.70,15.61,16.55,62342600,14.06
2009-05-01,15.76,16.74,15.00,15.72,70811400,13.36
2009-04-01,14.77,16.39,14.62,15.78,75386400,13.30
2009-03-02,12.51,15.89,12.07,15.03,77067700,12.66
2009-02-02,12.82,15.15,12.05,12.74,73580400,10.73
2009-01-02,14.69,15.51,12.50,12.90,65959400,10.76
2008-12-01,13.46,15.68,12.38,14.66,62033600,12.23
2008-11-03,16.13,16.39,12.06,13.80,82112000,11.51
2008-10-01,18.50,18.69,13.37,16.03,105908100,13.25
2008-09-02,23.27,23.48,17.27,18.73,81329000,15.49
2008-08-01,22.42,24.75,21.98,22.87,54259100,18.91
2008-07-01,21.29,22.62,19.71,22.19,65689200,18.23
2008-06-02,23.05,24.00,21.22,21.48,56482400,17.65
2008-05-01,22.36,25.29,22.36,23.18,57105200,19.05
2008-04-01,21.51,23.02,20.50,22.26,60830500,18.18
2008-03-03,20.06,22.45,19.44,21.18,70198800,17.30
2008-02-01,21.40,21.82,19.50,19.97,76940100,16.31
2008-01-02,26.28,26.34,18.05,21.10,122246900,17.13
2007-12-03,26.03,27.99,25.38,26.66,48349700,21.64
2007-11-01,26.70,27.54,24.32,26.08,68282300,21.17
2007-10-01,26.04,26.98,25.16,26.90,70924700,21.75
2007-09-04,25.82,26.43,24.60,25.86,64741300,20.91
2007-08-01,23.56,25.80,22.09,25.75,69157700,20.82
2007-07-02,23.88,26.52,23.53,23.62,74345100,19.01
2007-06-01,22.34,24.45,21.29,23.74,65868900,19.10
2007-05-01,21.56,23.14,21.45,22.18,60514000,17.85
2007-04-02,19.15,22.30,19.03,21.50,76915700,17.21
2007-03-01,19.52,19.80,18.75,19.13,65492900,15.31
2007-02-01,20.98,21.67,19.80,19.86,67303700,15.90
2007-01-03,20.45,22.30,20.14,20.96,83134500,16.69
2006-12-01,21.32,21.45,20.03,20.25,47313900,16.12
2006-11-01,21.37,22.50,20.32,21.40,58557600,17.04
2006-10-02,20.56,22.03,20.17,21.34,74700000,16.91
2006-09-01,19.90,20.95,19.03,20.57,73498000,16.30
2006-08-01,17.89,20.00,17.22,19.57,58002600,15.51
2006-07-03,19.27,19.39,16.84,18.00,65709600,14.18
2006-06-01,18.05,19.36,16.75,19.00,75593500,14.97
2006-05-01,20.06,20.22,17.74,18.02,79642500,14.20
2006-04-03,19.68,20.27,18.60,19.98,83603900,15.66
2006-03-01,20.73,21.00,19.31,19.46,87942400,15.25
2006-02-01,21.24,21.68,19.88,20.60,88602600,16.15
2006-01-03,25.19,26.63,21.10,21.26,96593800,16.59
2005-12-01,26.94,27.49,24.87,24.96,54107700,19.47
2005-11-01,23.18,27.15,22.53,26.68,56234900,20.82
2005-10-03,24.74,24.96,22.75,23.50,58262000,18.27
2005-09-01,25.58,26.12,23.80,24.65,53493900,19.17
2005-08-01,27.24,27.66,25.31,25.72,45049200,20.00
2005-07-01,26.23,28.84,26.08,27.14,55455700,21.04
2005-06-01,26.80,27.75,25.73,26.02,55191400,20.17
2005-05-02,23.50,27.40,23.35,26.96,64584800,20.90
